,Date,Economy,Measure,Vehicle Type,Unit,Medium,Transport Type,Drive,Fuel_Type,Frequency,Scope,level_0,index,Final_dataset_selection_method,Value,Dataset
175,2017-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,8248.0,Manual,127.60110819767532,Energy_non_road_est $ EGEDA/8th_ref
176,2018-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,9425.0,not enough values to interpolate,,
177,2019-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,10602.0,not enough values to interpolate,,
178,2020-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,11779.0,not enough values to interpolate,,
179,2021-12-31,01_AUS,Energy,,PJ,air,passenger,,,Yearly,National,,12956.0,not enough values to interpolate,,
180,2010-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,10.0,not enough values to interpolate,,
181,2011-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,1187.0,not enough values to interpolate,,
182,2012-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,2364.0,not enough values to interpolate,,
183,2013-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,3541.0,not enough values to interpolate,,
184,2014-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,4718.0,not enough values to interpolate,,
185,2015-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,5895.0,not enough values to interpolate,,
186,2016-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,7072.0,not enough values to interpolate,,
187,2017-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,8249.0,Manual,56.099705100171136,Energy_non_road_est $ EGEDA/8th_ref
188,2018-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,9426.0,not enough values to interpolate,,
189,2019-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,10603.0,not enough values to interpolate,,
190,2020-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,11780.0,not enough values to interpolate,,
191,2021-12-31,01_AUS,Energy,,PJ,rail,freight,,,Yearly,National,,12957.0,not enough values to interpolate,,
192,2010-12-31,01_AUS,Energy,,PJ,rail,passenger,,,Yearly,National,,11.0,not enough values to interpolate,,
193,2011-12-31,01_AUS,Energy,,PJ,rail,passenger,,,Yearly,National,,1188.0,not enough values to interpolate,,
194,2012-12-31,01_AUS,Energy,,PJ,rail,passenger,,,Yearly,National,,2365.0,not enough values to interpolate,,
195,2013-12-31,01_AUS,Energy,,PJ,rail,passenger,,,Yearly,National,,3542.0,not enough values to interpolate,,
196,2014-12-31,01_AUS,Energy,,PJ,rail,passenger,,,Yearly,National,,4719.0,not enough values to interpolate,,
197,2015-12-31,01_AUS,Energy,,PJ,rail,passenger,,,Yearly,National,,5896.0,not enough values to interpolate,,
198,2016-12-31,01_AUS,Energy,,PJ,rail,passenger,,,Yearly,National,,7073.0,not enough values to interpolate,,
