Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,passenger,2w,g,2017-12-31,01_AUS,Yearly,Energy,PJ,3.819849683871504,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,01_AUS,Yearly,Energy,PJ,12.794582430084406,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,01_AUS,Yearly,Energy,PJ,2.3365048038044285,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,01_AUS,Yearly,Energy,PJ,0.9720149171371406,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,01_AUS,Yearly,Energy,PJ,47.53388589427607,8th edition transport model $ Reference,National,,,
rail,passenger,,,2017-12-31,01_AUS,Yearly,Energy,PJ,10.784553715723902,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,01_AUS,Yearly,Energy,PJ,20.722119060725475,8th edition transport model $ Reference,National,,,
ship,passenger,,,2017-12-31,01_AUS,Yearly,Energy,PJ,3.567684871274512,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,02_BD,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,02_BD,Yearly,Energy,PJ,9.131019177702978e-07,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,02_BD,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,02_BD,Yearly,Energy,PJ,2.2815453660080025,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,02_BD,Yearly,Energy,PJ,0.4191356181752973,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,02_BD,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,02_BD,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,02_BD,Yearly,Energy,PJ,0.0948149348010445,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,02_BD,Yearly,Energy,PJ,0.0088142133705695,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,02_BD,Yearly,Energy,PJ,0.0410594119183568,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,03_CDA,Yearly,Energy,PJ,5.512662009962239,8th edition transport model $ Reference,National,,,
air,passenger,,,2017-12-31,03_CDA,Yearly,Energy,PJ,257.1895273766891,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,03_CDA,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,03_CDA,Yearly,Energy,PJ,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,03_CDA,Yearly,Energy,PJ,4.3483541216247925,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,03_CDA,Yearly,Energy,PJ,0.5978739250798678,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,03_CDA,Yearly,Energy,PJ,1.066519133211744,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,03_CDA,Yearly,Energy,PJ,640.0579722603037,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,03_CDA,Yearly,Energy,PJ,31.04290466818896,8th edition transport model $ Reference,National,,,
