,date,vehicle_type,measure,transport_type,frequency,medium,unit,fuel,economy,scope,comment,dataset,drive,value
3800,2021,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3801,2022,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3802,2023,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,05_PRC,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3803,2010,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3804,2011,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3805,2012,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3806,2013,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3807,2014,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3808,2015,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3809,2016,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3810,2017,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3811,2018,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3812,2019,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3813,2020,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3814,2021,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3815,2022,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3816,2023,lcv,efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
3817,2010,lcv,new_vehicle_efficiency,freight,yearly,road,km_per_pj,all,11_MEX,national,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,826719576.719576
